scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_intent,lambda_phys,seed,eval_mode,mean_return,std_return,collision_rate,pothole_hits_mean,mean_ttc,min_ttc
1c,pinn_critic_sf,critic,False,True,True,0.5,123,deterministic,-8.643479999999649,81.74680248553786,0.0,0.0,16.53104847534541,6.718060888088548
1c,pinn_critic_sf,critic,False,True,True,0.5,123,stochastic,-26.670739999999878,76.07311398800736,0.0,0.0,18.13643745076457,6.717202753247883
1c,pinn_critic_sf,critic,False,True,True,0.5,456,deterministic,-36.08000000000018,47.48256100928041,0.0,0.0,17.1116929862225,7.102766354657529
1c,pinn_critic_sf,critic,False,True,True,0.5,456,stochastic,-24.94034000000006,66.46242502605814,0.0,0.0,17.001364879168968,7.10088659266181
1c,pinn_critic_sf,critic,False,True,True,0.5,789,deterministic,45.85965999999942,72.09479461614657,0.0,0.0,12.827497562832464,6.917983963239547
1c,pinn_critic_sf,critic,False,True,True,0.5,789,stochastic,-10.133500000000025,70.85985160307636,0.0,0.0,17.198952458166143,7.296705099388634
1c,pinn_critic_sf,critic,False,True,True,0.5,999,deterministic,119.69796000000112,113.63918865003639,0.0,0.0,11.496556171773841,4.507420551971769
1c,pinn_critic_sf,critic,False,True,True,0.5,999,stochastic,57.88110000000008,122.75500010773496,0.0,0.0,15.203791695580811,7.056842860839787
1c,pinn_critic_sf,critic,False,True,True,1.0,42,deterministic,113.8152799999994,144.12395421137194,0.0,0.0,10.7969865378636,3.0935891836146086
1c,pinn_critic_sf,critic,False,True,True,1.0,42,stochastic,61.00913999999996,140.24366890494696,0.0,0.0,12.485510126560808,5.040039118078597
1c,pinn_critic_sf,critic,False,True,True,1.0,123,deterministic,80.73530000000024,128.04038504319757,0.0,0.0,13.631124651389388,2.886328443932746
1c,pinn_critic_sf,critic,False,True,True,1.0,123,stochastic,4.942140000000144,109.71785109889942,0.0,0.0,17.111518596409063,6.4245833581266
1c,pinn_critic_sf,critic,False,True,True,1.0,456,deterministic,92.38298000000127,120.10444416631674,0.0,0.0,10.499362030399228,3.7031601111414445
1c,pinn_critic_sf,critic,False,True,True,1.0,456,stochastic,-15.821939999999831,82.18829206265559,0.0,0.0,17.258303779103425,7.100815346397187
1c,pinn_critic_sf,critic,False,True,True,1.0,789,deterministic,88.07150000000165,107.39499714013758,0.0,0.0,10.045582121254263,2.847023899673106
1c,pinn_critic_sf,critic,False,True,True,1.0,789,stochastic,61.94222,133.50619786021778,0.0,0.0,16.07618103083139,6.814315140933521
1c,pinn_critic_sf,critic,False,True,True,1.0,999,deterministic,57.89626000000119,103.81442929184992,0.0,0.0,9.730543595455092,2.1567358660304623
1c,pinn_critic_sf,critic,False,True,True,1.0,999,stochastic,104.63512000000004,133.19672127656006,0.0,0.0,14.089467993751901,5.3387305957177125
1d,nopinn,none,False,False,True,0.0,42,deterministic,327.5810000000001,0.0,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,42,stochastic,318.5788199999999,17.911831835622117,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,123,deterministic,327.5810000000001,0.0,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,123,stochastic,325.3859400000002,4.128673483868647,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,456,deterministic,327.5810000000001,0.0,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,456,stochastic,198.38660000000007,105.4290054848286,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,789,deterministic,327.5810000000001,0.0,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,789,stochastic,320.8655000000005,25.638164024165288,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,999,deterministic,326.5197200000035,0.3883188401299037,0.0,0.0,10.0,10.0
1d,nopinn,none,False,False,True,0.0,999,stochastic,293.8462800000013,59.491666467847864,0.0,0.0,10.0,10.0
1d,pinn_critic,critic,False,False,True,0.001,42,deterministic,327.62390000000005,0.3466682708296192,0.0,0.0,10.0,10.0
1d,pinn_critic,critic,False,False,True,0.001,42,stochastic,326.7934999999999,0.3846075532279649,0.0,0.0,10.0,10.0
1d,pinn_critic,critic,False,False,True,0.001,123,deterministic,326.7351400000006,0.3894009763727054,0.0,0.0,10.0,10.0
