scenario,maneuver,method,metric,n_intent,n_nointent,intent_mean,intent_ci_low,intent_ci_high,nointent_mean,nointent_ci_low,nointent_ci_high,delta,cohens_d,raw_p_welch,corrected_p_welch,significant_welch,marker_welch
2,stem_right,fusion_aux,success_rate,6,10,0.207222,0.166646,0.2475,0.243833,0.189479,0.298708,-0.036611,-0.4422,0.3471821856563789,1.0,False,ns
2,stem_right,fusion_aux,collision_rate,6,10,0.402778,0.3175,0.466667,0.3855,0.3448,0.427854,0.017278,0.2015,0.7311353240721261,1.0,False,ns
2,stem_right,fusion_aux,mean_return,6,10,116.692411,105.046008,129.251101,133.847564,121.122354,147.078591,-17.155153,-0.8127,0.10950837861776015,1.0,False,ns
2,stem_right,hjb_aux,success_rate,2,10,0.3575,0.34,0.375,0.335667,0.306496,0.364838,0.021833,0.4637,0.4195099340371486,1.0,False,ns
2,stem_right,hjb_aux,collision_rate,2,10,0.305833,0.201667,0.41,0.267,0.200646,0.329846,0.038833,0.3378,0.774549618282947,1.0,False,ns
2,stem_right,hjb_aux,mean_return,2,10,158.497832,141.373832,175.621832,157.354193,147.981938,168.353216,1.143639,0.0603,0.9581871817962346,1.0,False,ns
2,stem_right,rule_based,success_rate,3,10,0.281111,0.27,0.3,0.290667,0.279,0.301667,-0.009556,-0.4982,nan,nan,False,desc
2,stem_right,rule_based,collision_rate,3,10,0.626667,0.613333,0.636667,0.611,0.601667,0.622008,0.015667,0.9415,nan,nan,False,desc
2,stem_right,rule_based,mean_return,3,10,125.84487,119.874617,136.059057,129.389411,124.014554,134.587349,-3.544541,-0.3891,nan,nan,False,desc
2_dense,right_left,cbf_aux,success_rate,6,10,0.328889,0.08709,0.620278,0.383167,0.164942,0.636333,-0.054278,-0.135,0.7919410299711394,1.0,False,ns
2_dense,right_left,cbf_aux,collision_rate,6,10,0.000833,0.000278,0.001389,0.001,0.0,0.002833,-0.000167,-0.0765,0.8578950801237236,1.0,False,ns
2_dense,right_left,cbf_aux,mean_return,6,10,109.921905,49.481897,183.443635,135.959701,77.569245,206.12595,-26.037796,-0.2423,0.6287330336456031,1.0,False,ns
2_dense,right_left,drppo,success_rate,10,10,0.2775,0.066971,0.526346,0.1775,0.043646,0.364525,0.1,0.2834,0.5349725415183195,1.0,False,ns
2_dense,right_left,drppo,collision_rate,10,10,0.000167,0.0,0.0005,0.000833,0.0,0.001667,-0.000667,-0.6239,0.18950481753009227,1.0,False,ns
2_dense,right_left,drppo,mean_return,10,10,100.590875,48.163504,171.075742,76.595995,43.225702,125.694012,23.99488,0.2618,0.5661044132528663,1.0,False,ns
2_dense,right_left,eikonal_aux,success_rate,4,10,0.122917,0.05125,0.216,0.190333,0.103996,0.282342,-0.067417,-0.4719,0.35374174573683514,1.0,False,ns
2_dense,right_left,eikonal_aux,collision_rate,4,10,0.000417,0.0,0.00125,0.000333,0.0,0.000833,8.3e-05,0.113,0.8670989510753954,1.0,False,ns
2_dense,right_left,eikonal_aux,mean_return,4,10,47.259321,12.901693,85.704663,48.078055,27.61999,69.852664,-0.818734,-0.0217,0.9733044221432278,1.0,False,ns
2_dense,right_left,fusion_aux,success_rate,4,10,0.31625,0.204167,0.428333,0.167333,0.103304,0.247167,0.148917,1.1888,0.10417845193341153,1.0,False,ns
2_dense,right_left,fusion_aux,collision_rate,4,10,0.000833,0.0,0.0025,0.000833,0.000167,0.001667,0.0,0.0,0.9999999999999999,1.0,False,ns
2_dense,right_left,fusion_aux,mean_return,4,10,64.006915,39.360708,88.953642,42.158333,29.940628,53.143495,21.848581,0.9334,0.26606722594169996,1.0,False,ns
2_dense,right_left,hjb_aux,success_rate,7,10,0.359762,0.175899,0.580554,0.265167,0.063479,0.526558,0.094595,0.2652,0.5804318436970525,1.0,False,ns
2_dense,right_left,hjb_aux,collision_rate,7,10,0.000476,0.0,0.000952,0.000833,0.0,0.002167,-0.000357,-0.2079,0.6360758570858807,1.0,False,ns
2_dense,right_left,hjb_aux,mean_return,7,10,93.204882,43.065464,151.327892,106.627195,54.10411,177.793082,-13.422312,-0.1402,0.7687430408168324,1.0,False,ns
2_dense,right_left,rule_based,success_rate,5,10,0.997333,0.995333,0.999333,0.996333,0.995,0.997667,0.001,0.3898,nan,nan,False,desc
2_dense,right_left,rule_based,collision_rate,5,10,0.0,0.0,0.0,0.000333,0.0,0.001,-0.000333,-0.3801,nan,nan,False,desc
2_dense,right_left,rule_based,mean_return,5,10,318.683651,315.229531,321.133233,319.801312,317.572913,321.738706,-1.117661,-0.3108,nan,nan,False,desc
2_dense,right_left,soft_hjb_aux,success_rate,5,10,0.273333,0.149333,0.394667,0.348333,0.289992,0.398333,-0.075,-0.6186,0.3805632539329545,1.0,False,ns
2_dense,right_left,soft_hjb_aux,collision_rate,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,False,n/a
2_dense,right_left,soft_hjb_aux,mean_return,5,10,68.056687,54.491755,79.402867,73.423359,64.252948,82.990951,-5.366672,-0.3358,0.5518445066191405,1.0,False,ns
3,left_right,cbf_aux,success_rate,7,10,0.001429,0.000714,0.002149,0.003167,0.001667,0.005,-0.001738,-0.7404,0.10960355869260417,1.0,False,ns
